#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9I019	uniprotkb:Q9HWI5	-	-	uniprotkb:PA2824(gene_name)	uniprotkb:bfiR(gene_name)	psi-mi:"MI:0096"(pull down)	Petrova, OE. et al.(2011)	pubmed:21949078	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6416740	-
uniprotkb:P52002	uniprotkb:P52477	-	-	uniprotkb:mexB(gene_name)	uniprotkb:mexA(gene_name)	psi-mi:"MI:0096"(pull down)	Nehme, D. et al.(2007)	pubmed:17586626	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6400432	-
uniprotkb:Q00514	uniprotkb:Q00514	-	-	uniprotkb:xcpT(gene_name)	uniprotkb:xcpT(gene_name)	psi-mi:"MI:0030"(cross-linking study)	Lu, HM. et al.(1997)	pubmed:9282737	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-6420519	-
uniprotkb:P47204	uniprotkb:Q9HZJ8	-	-	uniprotkb:ftsZ(gene_name)	uniprotkb:sulA(gene_name)	psi-mi:"MI:0114"(x-ray crystallography)	Cordell, SC. et al.(2003)	pubmed:12808143	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-1036642	-
uniprotkb:P27017	uniprotkb:P10932	-	-	uniprotkb:amiC(gene_name)	uniprotkb:amiR(gene_name)	psi-mi:"MI:0114"(x-ray crystallography)	O'Hara, BP. et al.(1999)	pubmed:10508151	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-1028522	-
uniprotkb:Q9HY81	uniprotkb:Q9HY81	-	-	uniprotkb:PA3529(gene_name)	uniprotkb:PA3529(gene_name)	psi-mi:"MI:0276"(blue native page)	An, BC. et al.(2015)	pubmed:26278368	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-11360218	-
uniprotkb:Q9HY81	uniprotkb:Q9HY81	-	-	uniprotkb:PA3529(gene_name)	uniprotkb:PA3529(gene_name)	psi-mi:"MI:0071"(molecular sieving)	An, BC. et al.(2015)	pubmed:26278368	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-11359638	-
uniprotkb:Q9HY81	uniprotkb:Q9HY81	-	-	uniprotkb:PA3529(gene_name)	uniprotkb:PA3529(gene_name)	psi-mi:"MI:0020"(transmission electron microscopy)	An, BC. et al.(2015)	pubmed:26278368	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-11360255	-
uniprotkb:Q51548	uniprotkb:Q9I181	-	-	uniprotkb:pvdA(gene_name)	uniprotkb:pvdJ(gene_name)	psi-mi:"MI:0663"(confocal microscopy)	Imperi, F. et al.(2013)	pubmed:24042050	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-8691389	-
uniprotkb:Q51548	uniprotkb:Q9I181	-	-	uniprotkb:pvdA(gene_name)	uniprotkb:pvdJ(gene_name)	psi-mi:"MI:0096"(pull down)	Imperi, F. et al.(2013)	pubmed:24042050	taxid:208964(Pseudomonas aeruginosa PAO1)	taxid:208964(Pseudomonas aeruginosa PAO1)	-	psi-mi:"MI:0469"(intact)	intact:EBI-8691183	-
