Protein1,Protein2,Confidence,Comment
PA1596,PA4271,1,In_reference_set
PA4262,PA4403,1,In_reference_set
PA2840,PA4932,1,In_reference_set
PA2630,PA2972,1,In_reference_set
PA5569,PA5316,1,In_reference_set
PA4481,PA5366,1,In_reference_set
PA5567,PA5239,1,In_reference_set
PA5192,PA5200,1,In_reference_set
PA4745,PA4264,1,In_reference_set
PA4420,PA4263,1,In_reference_set
PA2812,PA4935,1,In_reference_set
PA4937,PA4935,1,In_reference_set
PA2188,PA5016,1,In_reference_set
PA4755,PA4269,1,In_reference_set
PA3622,PA0576,1,In_reference_set
PA3620,PA4946,1,In_reference_set
PA5569,PA4934,1,In_reference_set
PA1803,PA4257,1,In_reference_set
PA4275,PA2840,1,In_reference_set
PA5053,PA3656,1,In_reference_set
PA5331,PA5336,1,In_reference_set
PA1781,PA2611,1,In_reference_set
PA0966,PA3725,1,In_reference_set
PA1272,PA1832,1,In_reference_set
PA5569,PA5239,1,In_reference_set
PA2585,PA4241,1,In_reference_set
PA5303,PA4761,1,In_reference_set
PA4700,PA5045,1,In_reference_set
PA0336,PA2540,1,In_reference_set
PA1580,PA2623,1,In_reference_set
PA4505,PA3376,1,In_reference_set
PA3849,PA1587,1,In_reference_set
PA0382,PA4258,1,In_reference_set
PA3168,PA0546,1,In_reference_set
PA3742,PA4762,1,In_reference_set
PA4760,PA4762,1,In_reference_set
PA5373,PA5312,1,In_reference_set
PA3129,PA3656,1,In_reference_set
PA0947,PA3007,1,In_reference_set
PA3714,PA4385,1,In_reference_set
PA3374,PA3377,1,In_reference_set
PA4275,PA3745,1,In_reference_set
PA2840,PA2741,1,In_reference_set
PA3118,PA2623,1,In_reference_set
PA4254,PA4257,1,In_reference_set
PA0347,PA5235,1,In_reference_set
PA5338,PA4250,1,In_reference_set
PA3656,PA3162,1,In_reference_set
PA2812,PA3742,1,In_reference_set
PA0935,PA4385,1,In_reference_set
PA4241,PA4259,1,In_reference_set
PA3861,PA4935,1,In_reference_set
PA1001,PA0649,1,In_reference_set
PA1340,PA3384,1,In_reference_set
PA4432,PA4246,1,In_reference_set
PA1799,PA0463,1,In_reference_set
PA5153,PA5154,1,In_reference_set
PA0036,PA1001,1,In_reference_set
PA1816,PA5315,1,In_reference_set
PA4273,PA4269,1,In_reference_set
PA4745,PA4270,1,In_reference_set
PA4944,PA3162,1,In_reference_set
PA3809,PA3811,1,In_reference_set
PA5500,PA4262,1,In_reference_set
PA0976,PA4761,1,In_reference_set
PA4750,PA4752,1,In_reference_set
PA4678,PA5015,1,In_reference_set
PA5035,PA4257,1,In_reference_set
PA2961,PA4403,1,In_reference_set
PA4964,PA0004,1,In_reference_set
PA2619,PA0546,1,In_reference_set
PA4595,PA4267,1,In_reference_set
PA0903,PA3617,1,In_reference_set
PA2812,PA4262,1,In_reference_set
PA4967,PA1587,1,In_reference_set
PA2970,PA4258,1,In_reference_set
PA2622,PA2975,1,In_reference_set
PA0576,PA0652,1,In_reference_set
PA0001,PA4920,1,In_reference_set
PA3618,PA1580,1,In_reference_set
PA4768,PA3656,1,In_reference_set
PA5209,PA5015,1,In_reference_set
PA4275,PA4385,1,In_reference_set
PA0354,PA4258,1,In_reference_set
PA4248,PA2071,1,In_reference_set
PA2840,PA4274,1,In_reference_set
PA1449,PA4954,1,In_reference_set
PA3806,PA4239,1,In_reference_set
PA4403,PA4481,1,In_reference_set
PA5339,PA0002,1,In_reference_set
PA4670,PA2620,1,In_reference_set
PA3849,PA5016,1,In_reference_set
PA0456,PA4239,1,In_reference_set
PA1803,PA2620,1,In_reference_set
PA0607,PA5038,1,In_reference_set
PA4943,PA4941,1,In_reference_set
PA3011,PA4260,1,In_reference_set
PA1084,PA1452,1,In_reference_set
PA5569,PA3745,1,In_reference_set
PA2812,PA4932,1,In_reference_set
PA5063,PA1587,1,In_reference_set
PA5153,PA2923,1,In_reference_set
PA4740,PA4761,1,In_reference_set
PA1769,PA5015,1,In_reference_set
PA2925,PA2923,1,In_reference_set
PA4238,PA3656,1,In_reference_set
PA5016,PA2991,1,In_reference_set
PA2962,PA1636,1,In_reference_set
PA2144,PA2153,1,In_reference_set
PA4237,PA4244,1,In_reference_set
PA4261,PA3742,1,In_reference_set
PA2071,PA4270,1,In_reference_set
PA4753,PA4252,1,In_reference_set
PA1477,PA1475,1,In_reference_set
PA1802,PA4761,1,In_reference_set
PA0762,PA5255,1,In_reference_set
PA4427,PA4428,1,In_reference_set
PA4264,PA2071,1,In_reference_set
PA1832,PA4268,1,In_reference_set
PA4246,PA4259,1,In_reference_set
PA4158,PA4160,1,In_reference_set
PA4937,PA4568,1,In_reference_set
PA2966,PA2964,1,In_reference_set
PA4246,PA4258,1,In_reference_set
PA4760,PA4277,1,In_reference_set
