Protein1,Protein2,Confidence,Comment
PA5336,PA5345,1,In_reference_set
PA4807,PA4433,1,In_reference_set
PA5339,PA4258,1,In_reference_set
PA4753,PA4568,1,In_reference_set
PA3493,PA3495,1,In_reference_set
PA4931,PA4930,1,In_reference_set
PA1806,PA0002,1,In_reference_set
PA5288,PA5287,1,In_reference_set
PA0382,PA4761,1,In_reference_set
PA3376,PA3379,1,In_reference_set
PA3644,PA4271,1,In_reference_set
PA4259,PA4264,1,In_reference_set
PA3806,PA4250,1,In_reference_set
PA4668,PA1803,1,In_reference_set
PA0962,PA4246,1,In_reference_set
PA4848,PA4761,1,In_reference_set
PA1094,PA1105,1,In_reference_set
PA3981,PA4433,1,In_reference_set
PA4935,PA4932,1,In_reference_set
PA3105,PA3102,1,In_reference_set
PA5425,PA5426,1,In_reference_set
PA1815,PA4260,1,In_reference_set
PA5296,PA4234,1,In_reference_set
PA3266,PA4944,1,In_reference_set
PA4413,PA4403,1,In_reference_set
PA0579,PA4935,1,In_reference_set
PA4269,PA3308,1,In_reference_set
PA3861,PA4563,1,In_reference_set
PA5361,PA1179,1,In_reference_set
PA1618,PA4250,1,In_reference_set
PA3806,PA4247,1,In_reference_set
PA0001,PA5569,1,In_reference_set
PA4259,PA4262,1,In_reference_set
PA1637,PA5200,1,In_reference_set
PA0430,PA3687,1,In_reference_set
PA1449,PA1104,1,In_reference_set
PA5338,PA4247,1,In_reference_set
PA0336,PA4433,1,In_reference_set
PA3189,PA1073,1,In_reference_set
PA0155,PA5493,1,In_reference_set
PA4937,PA4263,1,In_reference_set
PA5316,PA4932,1,In_reference_set
PA4268,PA4270,1,In_reference_set
PA2975,PA4273,1,In_reference_set
PA4740,PA4239,1,In_reference_set
PA1583,PA1584,1,In_reference_set
PA5280,PA5054,1,In_reference_set
PA4462,PA4269,1,In_reference_set
PA5555,PA3344,1,In_reference_set
PA4238,PA4248,1,In_reference_set
PA1481,PA1477,1,In_reference_set
PA4238,PA5255,1,In_reference_set
PA4462,PA4761,1,In_reference_set
PA4770,PA0482,1,In_reference_set
PA4758,PA0402,1,In_reference_set
PA0456,PA4263,1,In_reference_set
PA1073,PA1074,1,In_reference_set
PA0395,PA3102,1,In_reference_set
PA4261,PA4568,1,In_reference_set
PA3617,PA5345,1,In_reference_set
PA4408,PA4407,1,In_reference_set
PA1564,PA4270,1,In_reference_set
PA4261,PA5315,1,In_reference_set
PA3656,PA3655,1,In_reference_set
PA4678,PA3337,1,In_reference_set
PA4979,PA1812,1,In_reference_set
PA3810,PA3811,1,In_reference_set
PA4506,PA4504,1,In_reference_set
PA5195,PA3656,1,In_reference_set
PA5278,PA5280,1,In_reference_set
PA4408,PA2977,1,In_reference_set
PA1534,PA1596,1,In_reference_set
PA1005,PA5015,1,In_reference_set
PA3617,PA0001,1,In_reference_set
PA4243,PA4248,1,In_reference_set
PA5556,PA5016,1,In_reference_set
PA0455,PA3861,1,In_reference_set
PA5556,PA3011,1,In_reference_set
PA4237,PA4275,1,In_reference_set
PA3648,PA3646,1,In_reference_set
PA4056,PA4263,1,In_reference_set
PA2840,PA4264,1,In_reference_set
PA3834,PA3831,1,In_reference_set
PA2975,PA3048,1,In_reference_set
PA4275,PA4271,1,In_reference_set
PA4246,PA4247,1,In_reference_set
PA3297,PA4257,1,In_reference_set
PA2827,PA5018,1,In_reference_set
PA5107,PA4110,1,In_reference_set
PA4259,PA4260,1,In_reference_set
PA4557,PA4271,1,In_reference_set
PA0964,PA0972,1,In_reference_set
PA2975,PA4253,1,In_reference_set
PA4810,PA4811,1,In_reference_set
PA2812,PA4244,1,In_reference_set
PA4019,PA3109,1,In_reference_set
PA5180,PA4761,1,In_reference_set
PA1070,PA1072,1,In_reference_set
PA4768,PA0004,1,In_reference_set
PA3627,PA4264,1,In_reference_set
PA0002,PA5570,1,In_reference_set
PA0579,PA4477,1,In_reference_set
PA3644,PA4257,1,In_reference_set
PA4753,PA4264,1,In_reference_set
PA1816,PA4277,1,In_reference_set
PA0368,PA5015,1,In_reference_set
PA3803,PA3807,1,In_reference_set
PA2859,PA4238,1,In_reference_set
PA4967,PA4730,1,In_reference_set
PA5425,PA3751,1,In_reference_set
PA1580,PA1584,1,In_reference_set
PA3013,PA1754,1,In_reference_set
PA3002,PA4672,1,In_reference_set
PA4138,PA4761,1,In_reference_set
PA0336,PA4670,1,In_reference_set
PA4257,PA4260,1,In_reference_set
PA1801,PA3745,1,In_reference_set
PA0795,PA0792,1,In_reference_set
PA3017,PA4277,1,In_reference_set
PA5567,PA4403,1,In_reference_set
PA3646,PA4239,1,In_reference_set
PA4246,PA4264,1,In_reference_set
PA3645,PA3656,1,In_reference_set
PA3770,PA3777,1,In_reference_set
PA0576,PA4273,1,In_reference_set
PA4749,PA4271,1,In_reference_set
PA3743,PA3832,1,In_reference_set
PA1802,PA4542,1,In_reference_set
PA2975,PA4241,1,In_reference_set
PA4745,PA4385,1,In_reference_set
PA3824,PA3820,1,In_reference_set
PA5162,PA5161,1,In_reference_set
PA3617,PA0576,1,In_reference_set
PA4271,PA4934,1,In_reference_set
PA4044,PA3007,1,In_reference_set
PA4481,PA2639,1,In_reference_set
PA0576,PA4238,1,In_reference_set
PA1803,PA3162,1,In_reference_set
PA4668,PA4761,1,In_reference_set
PA0330,PA4363,1,In_reference_set
PA5569,PA3742,1,In_reference_set
PA3861,PA4241,1,In_reference_set
PA5360,PA5366,1,In_reference_set
PA0928,PA4983,1,In_reference_set
PA1581,PA1583,1,In_reference_set
PA3673,PA4385,1,In_reference_set
PA4241,PA4247,1,In_reference_set
PA0771,PA0767,1,In_reference_set
PA2975,PA3968,1,In_reference_set
PA1529,PA5015,1,In_reference_set
PA5361,PA3204,1,In_reference_set
PA4269,PA4267,1,In_reference_set
PA0456,PA3745,1,In_reference_set
PA1686,PA5016,1,In_reference_set
PA2812,PA3656,1,In_reference_set
PA5078,PA5077,1,In_reference_set
PA4807,PA5239,1,In_reference_set
PA1086,PA1446,1,In_reference_set
PA0357,PA5331,1,In_reference_set
PA4433,PA4247,1,In_reference_set
PA2966,PA5338,1,In_reference_set
PA1455,PA1446,1,In_reference_set
PA0009,PA5316,1,In_reference_set
PA4672,PA4271,1,In_reference_set
PA4937,PA2738,1,In_reference_set
PA3746,PA0546,1,In_reference_set
PA0500,PA0501,1,In_reference_set
PA4251,PA2071,1,In_reference_set
PA0001,PA4257,1,In_reference_set
PA4753,PA4258,1,In_reference_set
PA5493,PA5016,1,In_reference_set
PA1636,PA1635,1,In_reference_set
PA2840,PA4246,1,In_reference_set
PA4473,PA4264,1,In_reference_set
PA4753,PA3746,1,In_reference_set
PA4243,PA4264,1,In_reference_set
PA1618,PA4263,1,In_reference_set
PA0456,PA4267,1,In_reference_set
PA3875,PA3872,1,In_reference_set
PA2142,PA0002,1,In_reference_set
PA3126,PA4277,1,In_reference_set
PA4760,PA4563,1,In_reference_set
PA1457,PA0177,1,In_reference_set
PA0376,PA4271,1,In_reference_set
PA0999,PA2966,1,In_reference_set
PA1456,PA1455,1,In_reference_set
PA0928,PA0463,1,In_reference_set
PA0236,PA3337,1,In_reference_set
PA1928,PA5015,1,In_reference_set
PA3635,PA4732,1,In_reference_set
PA4248,PA4253,1,In_reference_set
PA4385,PA4761,1,In_reference_set
PA4044,PA5366,1,In_reference_set
PA4819,PA4267,1,In_reference_set
PA5498,PA5500,1,In_reference_set
PA4251,PA4262,1,In_reference_set
PA2966,PA2961,1,In_reference_set
PA4745,PA4257,1,In_reference_set
PA3011,PA4263,1,In_reference_set
PA4403,PA4277,1,In_reference_set
PA4260,PA4932,1,In_reference_set
PA5180,PA3126,1,In_reference_set
PA1544,PA4238,1,In_reference_set
PA4964,PA3168,1,In_reference_set
PA1637,PA1799,1,In_reference_set
PA3861,PA4273,1,In_reference_set
PA4261,PA4271,1,In_reference_set
PA3378,PA3379,1,In_reference_set
PA1080,PA1104,1,In_reference_set
PA2840,PA4760,1,In_reference_set
PA4239,PA4249,1,In_reference_set
PA1339,PA1341,1,In_reference_set
PA2975,PA3972,1,In_reference_set
PA4255,PA4256,1,In_reference_set
PA4760,PA4250,1,In_reference_set
PA3652,PA0963,1,In_reference_set
PA3308,PA4745,1,In_reference_set
PA4670,PA4252,1,In_reference_set
PA0342,PA0341,1,In_reference_set
PA4740,PA4262,1,In_reference_set
PA3616,PA3617,1,In_reference_set
PA4964,PA4260,1,In_reference_set
PA2616,PA5240,1,In_reference_set
PA4745,PA0001,1,In_reference_set
PA4761,PA4751,1,In_reference_set
PA1815,PA5555,1,In_reference_set
PA2979,PA4271,1,In_reference_set
PA0175,PA1561,1,In_reference_set
PA2738,PA2739,1,In_reference_set
PA1618,PA4273,1,In_reference_set
PA4246,PA4277,1,In_reference_set
PA2743,PA4249,1,In_reference_set
PA4252,PA4267,1,In_reference_set
PA0350,PA0593,1,In_reference_set
PA2644,PA2638,1,In_reference_set
PA4481,PA4385,1,In_reference_set
PA3980,PA4277,1,In_reference_set
PA4273,PA4270,1,In_reference_set
PA2970,PA0999,1,In_reference_set
PA4056,PA4053,1,In_reference_set
PA4283,PA4285,1,In_reference_set
PA1080,PA1443,1,In_reference_set
PA2586,PA1587,1,In_reference_set
PA3981,PA1587,1,In_reference_set
PA0576,PA4745,1,In_reference_set
PA3654,PA4246,1,In_reference_set
PA4807,PA4760,1,In_reference_set
PA4366,PA4468,1,In_reference_set
PA1104,PA1105,1,In_reference_set
PA2741,PA4433,1,In_reference_set
PA3799,PA5015,1,In_reference_set
PA0314,PA2925,1,In_reference_set
PA4819,PA4433,1,In_reference_set
PA3653,PA3640,1,In_reference_set
PA4395,PA0002,1,In_reference_set
PA2741,PA2742,1,In_reference_set
PA4418,PA4413,1,In_reference_set
PA2840,PA4741,1,In_reference_set
PA4275,PA4246,1,In_reference_set
PA4267,PA4271,1,In_reference_set
PA4407,PA2071,1,In_reference_set
PA4418,PA4403,1,In_reference_set
PA0947,PA4450,1,In_reference_set
PA1077,PA1081,1,In_reference_set
PA1005,PA1587,1,In_reference_set
PA5569,PA5242,1,In_reference_set
PA5338,PA4239,1,In_reference_set
PA4445,PA0009,1,In_reference_set
PA4477,PA4239,1,In_reference_set
PA3138,PA0001,1,In_reference_set
PA3644,PA4670,1,In_reference_set
PA3643,PA3642,1,In_reference_set
PA1580,PA0552,1,In_reference_set
PA2743,PA3168,1,In_reference_set
PA1502,PA5297,1,In_reference_set
PA5203,PA3617,1,In_reference_set
PA4758,PA3525,1,In_reference_set
PA0236,PA4249,1,In_reference_set
PA3413,PA3814,1,In_reference_set
PA1804,PA3646,1,In_reference_set
PA2812,PA5316,1,In_reference_set
PA4946,PA5016,1,In_reference_set
PA4740,PA4237,1,In_reference_set
PA4254,PA4260,1,In_reference_set
PA4406,PA4267,1,In_reference_set
PA4481,PA4740,1,In_reference_set
PA4481,PA4760,1,In_reference_set
PA0947,PA0002,1,In_reference_set
PA5493,PA1587,1,In_reference_set
PA4753,PA4251,1,In_reference_set
PA4760,PA4759,1,In_reference_set
PA4604,PA2114,1,In_reference_set
PA4052,PA3989,1,In_reference_set
PA0035,PA1001,1,In_reference_set
PA5206,PA5323,1,In_reference_set
PA1480,PA1479,1,In_reference_set
PA5425,PA4855,1,In_reference_set
PA1618,PA4246,1,In_reference_set
PA1456,PA0177,1,In_reference_set
PA0464,PA0465,1,In_reference_set
PA3657,PA4258,1,In_reference_set
PA4720,PA5015,1,In_reference_set
PA5180,PA3656,1,In_reference_set
PA3640,PA4277,1,In_reference_set
PA3656,PA3643,1,In_reference_set
PA4385,PA4932,1,In_reference_set
PA3656,PA4257,1,In_reference_set
PA0155,PA4263,1,In_reference_set
PA4462,PA4246,1,In_reference_set
PA0003,PA5568,1,In_reference_set
PA2966,PA4935,1,In_reference_set
PA4052,PA2961,1,In_reference_set
PA3806,PA4260,1,In_reference_set
PA5054,PA5366,1,In_reference_set
PA4411,PA4410,1,In_reference_set
PA3148,PA3159,1,In_reference_set
PA2622,PA4260,1,In_reference_set
PA4427,PA0837,1,In_reference_set
PA3972,PA3742,1,In_reference_set
PA3636,PA4258,1,In_reference_set
PA3645,PA3639,1,In_reference_set
PA0966,PA3617,1,In_reference_set
PA3981,PA4937,1,In_reference_set
PA4246,PA4433,1,In_reference_set
PA4270,PA3308,1,In_reference_set
PA3017,PA4481,1,In_reference_set
PA3821,PA3820,1,In_reference_set
PA1475,PA1172,1,In_reference_set
PA3126,PA5366,1,In_reference_set
PA5503,PA0004,1,In_reference_set
PA4250,PA4263,1,In_reference_set
PA1078,PA1083,1,In_reference_set
PA4269,PA4239,1,In_reference_set
PA5426,PA0944,1,In_reference_set
PA3654,PA4272,1,In_reference_set
PA2966,PA3972,1,In_reference_set
PA0593,PA0595,1,In_reference_set
PA4427,PA4385,1,In_reference_set
PA3580,PA3656,1,In_reference_set
PA1609,PA3128,1,In_reference_set
PA4647,PA4646,1,In_reference_set
PA1634,PA1633,1,In_reference_set
PA4271,PA4932,1,In_reference_set
PA4753,PA4271,1,In_reference_set
PA2619,PA4243,1,In_reference_set
PA3114,PA1375,1,In_reference_set
PA3643,PA4263,1,In_reference_set
PA0336,PA4261,1,In_reference_set
PA0381,PA4385,1,In_reference_set
PA4237,PA4240,1,In_reference_set
PA2118,PA0576,1,In_reference_set
PA4807,PA4935,1,In_reference_set
PA3617,PA3622,1,In_reference_set
PA4740,PA4568,1,In_reference_set
PA0381,PA3976,1,In_reference_set
PA4249,PA4264,1,In_reference_set
PA0155,PA5016,1,In_reference_set
PA5013,PA1326,1,In_reference_set
PA2585,PA4263,1,In_reference_set
PA3811,PA3813,1,In_reference_set
PA3823,PA3742,1,In_reference_set
PA4740,PA4244,1,In_reference_set
PA5550,PA4263,1,In_reference_set
PA3806,PA4403,1,In_reference_set
PA4936,PA4948,1,In_reference_set
PA5360,PA0464,1,In_reference_set
PA0354,PA4244,1,In_reference_set
PA4243,PA4262,1,In_reference_set
PA2840,PA4568,1,In_reference_set
PA4919,PA3656,1,In_reference_set
PA1802,PA1804,1,In_reference_set
PA1802,PA0546,1,In_reference_set
PA4678,PA4277,1,In_reference_set
PA0482,PA5352,1,In_reference_set
PA4944,PA5209,1,In_reference_set
PA3011,PA4238,1,In_reference_set
PA1080,PA1082,1,In_reference_set
PA4740,PA4260,1,In_reference_set
PA2812,PA3745,1,In_reference_set
PA3655,PA3654,1,In_reference_set
PA3617,PA4385,1,In_reference_set
PA3977,PA5243,1,In_reference_set
PA1446,PA1448,1,In_reference_set
PA2812,PA4273,1,In_reference_set
PA3797,PA1587,1,In_reference_set
PA0155,PA4234,1,In_reference_set
PA4740,PA4259,1,In_reference_set
PA5361,PA1637,1,In_reference_set
PA4363,PA4365,1,In_reference_set
PA1443,PA1446,1,In_reference_set
PA4260,PA5316,1,In_reference_set
PA1832,PA4250,1,In_reference_set
PA3913,PA1587,1,In_reference_set
PA5204,PA5323,1,In_reference_set
PA0967,PA4234,1,In_reference_set
PA3492,PA3495,1,In_reference_set
PA3811,PA4542,1,In_reference_set
PA1564,PA4948,1,In_reference_set
PA1449,PA1095,1,In_reference_set
PA4740,PA4932,1,In_reference_set
PA1637,PA1634,1,In_reference_set
PA4246,PA4248,1,In_reference_set
PA4411,PA4406,1,In_reference_set
PA1154,PA5015,1,In_reference_set
PA2975,PA4935,1,In_reference_set
PA3168,PA5366,1,In_reference_set
PA4269,PA3899,1,In_reference_set
PA5555,PA5558,1,In_reference_set
PA0003,PA0001,1,In_reference_set
PA2619,PA4238,1,In_reference_set
PA1805,PA5015,1,In_reference_set
PA4949,PA1587,1,In_reference_set
PA3017,PA1926,1,In_reference_set
PA4432,PA4241,1,In_reference_set
PA4944,PA2840,1,In_reference_set
PA5569,PA4247,1,In_reference_set
PA4504,PA3376,1,In_reference_set
PA4670,PA3643,1,In_reference_set
PA3901,PA3900,1,In_reference_set
PA4247,PA4263,1,In_reference_set
PA0835,PA4760,1,In_reference_set
PA4946,PA4945,1,In_reference_set
PA0002,PA0001,1,In_reference_set
PA1456,PA4954,1,In_reference_set
PA3617,PA4946,1,In_reference_set
PA1801,PA1803,1,In_reference_set
PA5500,PA1587,1,In_reference_set
PA4931,PA5015,1,In_reference_set
PA5569,PA3656,1,In_reference_set
PA0002,PA3832,1,In_reference_set
PA4673,PA4672,1,In_reference_set
PA4261,PA5570,1,In_reference_set
PA4481,PA4542,1,In_reference_set
PA1072,PA1074,1,In_reference_set
PA1610,PA4267,1,In_reference_set
PA0773,PA0772,1,In_reference_set
PA0552,PA0548,1,In_reference_set
PA3806,PA4744,1,In_reference_set
PA4946,PA4943,1,In_reference_set
PA4283,PA4385,1,In_reference_set
PA0579,PA4241,1,In_reference_set
PA2840,PA4257,1,In_reference_set
PA4277,PA4385,1,In_reference_set
PA5556,PA5015,1,In_reference_set
PA4937,PA4433,1,In_reference_set
PA1105,PA1443,1,In_reference_set
PA3649,PA3645,1,In_reference_set
PA2620,PA5209,1,In_reference_set
PA2743,PA4250,1,In_reference_set
PA3938,PA3937,1,In_reference_set
PA3376,PA3377,1,In_reference_set
PA1079,PA1086,1,In_reference_set
PA4029,PA3114,1,In_reference_set
PA1534,PA0967,1,In_reference_set
PA1479,PA1477,1,In_reference_set
PA4275,PA4260,1,In_reference_set
PA4263,PA2071,1,In_reference_set
PA3913,PA4385,1,In_reference_set
PA5339,PA4252,1,In_reference_set
PA1803,PA1804,1,In_reference_set
PA4745,PA4746,1,In_reference_set
PA4819,PA4432,1,In_reference_set
PA3622,PA5255,1,In_reference_set
PA3972,PA4246,1,In_reference_set
PA1534,PA4763,1,In_reference_set
PA3814,PA3815,1,In_reference_set
PA4433,PA4248,1,In_reference_set
PA4262,PA4761,1,In_reference_set
PA0969,PA0970,1,In_reference_set
PA5553,PA5556,1,In_reference_set
PA3961,PA4271,1,In_reference_set
PA5149,PA4670,1,In_reference_set
PA5428,PA4385,1,In_reference_set
PA5320,PA5321,1,In_reference_set
PA4160,PA4159,1,In_reference_set
PA3832,PA4255,1,In_reference_set
PA1754,PA4238,1,In_reference_set
PA4967,PA5016,1,In_reference_set
PA5493,PA3656,1,In_reference_set
PA4243,PA4931,1,In_reference_set
PA2966,PA3814,1,In_reference_set
PA3987,PA4274,1,In_reference_set
PA3832,PA4761,1,In_reference_set
PA4740,PA4238,1,In_reference_set
PA4473,PA4263,1,In_reference_set
PA4753,PA4248,1,In_reference_set
PA4785,PA3799,1,In_reference_set
PA4763,PA5344,1,In_reference_set
PA4246,PA3162,1,In_reference_set
PA0456,PA4740,1,In_reference_set
PA4237,PA4239,1,In_reference_set
PA4284,PA4283,1,In_reference_set
PA5443,PA4234,1,In_reference_set
PA4413,PA4002,1,In_reference_set
PA3810,PA3814,1,In_reference_set
PA3810,PA3812,1,In_reference_set
PA4237,PA4256,1,In_reference_set
PA1637,PA3204,1,In_reference_set
PA5200,PA4983,1,In_reference_set
PA4256,PA4273,1,In_reference_set
PA3714,PA4433,1,In_reference_set
PA3913,PA1803,1,In_reference_set
PA4727,PA4740,1,In_reference_set
PA1581,PA1584,1,In_reference_set
PA3564,PA3980,1,In_reference_set
PA1996,PA4261,1,In_reference_set
PA0771,PA4277,1,In_reference_set
PA0576,PA4269,1,In_reference_set
PA3168,PA4385,1,In_reference_set
PA3034,PA0002,1,In_reference_set
PA1507,PA5015,1,In_reference_set
PA4448,PA3165,1,In_reference_set
PA5338,PA3656,1,In_reference_set
PA4762,PA3656,1,In_reference_set
PA1950,PA1949,1,In_reference_set
PA3653,PA3162,1,In_reference_set
PA3375,PA3376,1,In_reference_set
PA3034,PA0962,1,In_reference_set
PA3802,PA3803,1,In_reference_set
PA1071,PA1073,1,In_reference_set
PA1618,PA4258,1,In_reference_set
PA0002,PA5569,1,In_reference_set
PA3120,PA0353,1,In_reference_set
PA5338,PA4277,1,In_reference_set
PA1629,PA4980,1,In_reference_set
PA3373,PA3381,1,In_reference_set
PA5239,PA4252,1,In_reference_set
PA2322,PA2321,1,In_reference_set
PA3972,PA4385,1,In_reference_set
PA3640,PA3989,1,In_reference_set
PA3640,PA0002,1,In_reference_set
PA3806,PA5338,1,In_reference_set
PA4937,PA3297,1,In_reference_set
PA4269,PA4246,1,In_reference_set
PA4056,PA4047,1,In_reference_set
PA0857,PA3980,1,In_reference_set
PA1082,PA1102,1,In_reference_set
PA0967,PA5443,1,In_reference_set
PA1502,PA0353,1,In_reference_set
PA4363,PA4385,1,In_reference_set
PA4243,PA4249,1,In_reference_set
PA3972,PA4433,1,In_reference_set
PA3806,PA5316,1,In_reference_set
PA3743,PA3989,1,In_reference_set
PA4267,PA4270,1,In_reference_set
PA3806,PA3007,1,In_reference_set
PA4138,PA1049,1,In_reference_set
PA5338,PA4260,1,In_reference_set
PA3849,PA3998,1,In_reference_set
PA4944,PA4937,1,In_reference_set
PA3129,PA4852,1,In_reference_set
PA0382,PA4260,1,In_reference_set
PA4061,PA4595,1,In_reference_set
PA4270,PA5255,1,In_reference_set
PA3162,PA4264,1,In_reference_set
PA2619,PA4237,1,In_reference_set
PA2975,PA4256,1,In_reference_set
PA3654,PA3640,1,In_reference_set
PA4819,PA4264,1,In_reference_set
PA3657,PA4262,1,In_reference_set
PA0733,PA4241,1,In_reference_set
PA4700,PA4003,1,In_reference_set
PA4473,PA4433,1,In_reference_set
PA5569,PA1587,1,In_reference_set
PA3832,PA3831,1,In_reference_set
PA4239,PA4248,1,In_reference_set
PA3017,PA4403,1,In_reference_set
PA2620,PA4935,1,In_reference_set
PA2644,PA2642,1,In_reference_set
PA0155,PA3263,1,In_reference_set
PA4243,PA4246,1,In_reference_set
PA3637,PA0934,1,In_reference_set
PA2620,PA4753,1,In_reference_set
PA2585,PA4753,1,In_reference_set
PA0316,PA4363,1,In_reference_set
PA3183,PA0002,1,In_reference_set
PA2585,PA4273,1,In_reference_set
PA2743,PA4241,1,In_reference_set
PA4403,PA5239,1,In_reference_set
PA4264,PA4269,1,In_reference_set
PA4724,PA4271,1,In_reference_set
PA4269,PA4741,1,In_reference_set
PA3337,PA5015,1,In_reference_set
PA5371,PA4250,1,In_reference_set
PA5552,PA3656,1,In_reference_set
PA4937,PA4563,1,In_reference_set
PA5315,PA5316,1,In_reference_set
PA3972,PA4568,1,In_reference_set
PA5338,PA4433,1,In_reference_set
PA4159,PA5015,1,In_reference_set
PA4604,PA4403,1,In_reference_set
PA5153,PA0313,1,In_reference_set
PA4931,PA3656,1,In_reference_set
PA4238,PA4240,1,In_reference_set
PA5063,PA5065,1,In_reference_set
PA1815,PA5556,1,In_reference_set
PA3972,PA4257,1,In_reference_set
PA1079,PA1080,1,In_reference_set
PA4247,PA4248,1,In_reference_set
PA3161,PA4935,1,In_reference_set
PA3832,PA3640,1,In_reference_set
PA1803,PA4267,1,In_reference_set
PA3654,PA4260,1,In_reference_set
PA4568,PA4433,1,In_reference_set
PA2641,PA2639,1,In_reference_set
PA5554,PA5558,1,In_reference_set
PA2620,PA4269,1,In_reference_set
PA3635,PA3637,1,In_reference_set
PA3161,PA4261,1,In_reference_set
PA1375,PA0316,1,In_reference_set
PA2961,PA3640,1,In_reference_set
PA4696,PA4385,1,In_reference_set
PA1179,PA0463,1,In_reference_set
PA0966,PA0965,1,In_reference_set
PA0382,PA3048,1,In_reference_set
PA3861,PA4568,1,In_reference_set
PA3443,PA3445,1,In_reference_set
PA3832,PA2961,1,In_reference_set
PA4944,PA2975,1,In_reference_set
PA5125,PA5124,1,In_reference_set
PA4238,PA4246,1,In_reference_set
PA1610,PA4258,1,In_reference_set
PA4270,PA4385,1,In_reference_set
PA0496,PA0492,1,In_reference_set
PA4807,PA4937,1,In_reference_set
PA4408,PA4406,1,In_reference_set
PA4257,PA4259,1,In_reference_set
PA1801,PA4568,1,In_reference_set
PA4238,PA0652,1,In_reference_set
PA0487,PA1861,1,In_reference_set
PA2320,PA2321,1,In_reference_set
PA5555,PA1587,1,In_reference_set
PA3618,PA4761,1,In_reference_set
PA0004,PA4277,1,In_reference_set
PA2147,PA4761,1,In_reference_set
PA0656,PA0002,1,In_reference_set
PA0607,PA4761,1,In_reference_set
PA3980,PA4945,1,In_reference_set
PA3832,PA3656,1,In_reference_set
PA4752,PA4267,1,In_reference_set
PA0004,PA5570,1,In_reference_set
PA4809,PA4761,1,In_reference_set
PA4752,PA1803,1,In_reference_set
PA4246,PA4239,1,In_reference_set
PA3646,PA4760,1,In_reference_set
PA3806,PA2071,1,In_reference_set
PA3244,PA3243,1,In_reference_set
PA3000,PA4628,1,In_reference_set
PA4979,PA3014,1,In_reference_set
PA5569,PA2620,1,In_reference_set
PA3644,PA3656,1,In_reference_set
PA2013,PA3337,1,In_reference_set
PA4432,PA4263,1,In_reference_set
PA3029,PA3918,1,In_reference_set
PA4243,PA4256,1,In_reference_set
PA1005,PA5016,1,In_reference_set
PA2812,PA4237,1,In_reference_set
PA4267,PA4268,1,In_reference_set
PA0336,PA4934,1,In_reference_set
PA4239,PA4241,1,In_reference_set
PA5128,PA4403,1,In_reference_set
PA5440,PA3337,1,In_reference_set
PA0336,PA5278,1,In_reference_set
PA3777,PA4763,1,In_reference_set
PA2743,PA4568,1,In_reference_set
PA3983,PA4996,1,In_reference_set
PA0336,PA5316,1,In_reference_set
PA4753,PA3162,1,In_reference_set
PA1800,PA5316,1,In_reference_set
PA4936,PA5316,1,In_reference_set
PA3918,PA3917,1,In_reference_set
PA4819,PA4249,1,In_reference_set
PA5493,PA4277,1,In_reference_set
PA4407,PA4760,1,In_reference_set
PA4411,PA4408,1,In_reference_set
PA1507,PA3337,1,In_reference_set
PA0976,PA4277,1,In_reference_set
PA3646,PA4260,1,In_reference_set
PA0370,PA4277,1,In_reference_set
PA1816,PA2961,1,In_reference_set
PA3806,PA4273,1,In_reference_set
PA2812,PA0579,1,In_reference_set
PA3109,PA3112,1,In_reference_set
PA4275,PA5316,1,In_reference_set
PA3918,PA5316,1,In_reference_set
PA5239,PA3656,1,In_reference_set
PA1610,PA3162,1,In_reference_set
PA3028,PA3875,1,In_reference_set
PA3658,PA5014,1,In_reference_set
PA5569,PA4248,1,In_reference_set
PA0487,PA1863,1,In_reference_set
PA4244,PA4260,1,In_reference_set
PA3168,PA0003,1,In_reference_set
PA1996,PA3112,1,In_reference_set
PA2743,PA0579,1,In_reference_set
PA4524,PA0761,1,In_reference_set
PA1077,PA1084,1,In_reference_set
PA1449,PA1448,1,In_reference_set
PA3129,PA4258,1,In_reference_set
PA0336,PA4248,1,In_reference_set
PA1802,PA4385,1,In_reference_set
PA0354,PA4256,1,In_reference_set
PA2840,PA2966,1,In_reference_set
PA1456,PA0178,1,In_reference_set
PA1801,PA2620,1,In_reference_set
PA1078,PA1082,1,In_reference_set
PA4944,PA5338,1,In_reference_set
PA3640,PA3656,1,In_reference_set
PA3297,PA4273,1,In_reference_set
PA3814,PA5180,1,In_reference_set
PA4243,PA0376,1,In_reference_set
PA4407,PA2341,1,In_reference_set
PA3761,PA1794,1,In_reference_set
PA1082,PA1446,1,In_reference_set
PA2812,PA4252,1,In_reference_set
PA3806,PA4244,1,In_reference_set
PA4678,PA4238,1,In_reference_set
PA1078,PA1449,1,In_reference_set
PA4457,PA1125,1,In_reference_set
PA5553,PA5560,1,In_reference_set
PA3019,PA3554,1,In_reference_set
PA2743,PA4260,1,In_reference_set
PA2585,PA4258,1,In_reference_set
PA2975,PA3297,1,In_reference_set
PA1801,PA3875,1,In_reference_set
PA5550,PA4251,1,In_reference_set
PA2389,PA2390,1,In_reference_set
PA4931,PA4262,1,In_reference_set
PA0336,PA4935,1,In_reference_set
PA4238,PA4239,1,In_reference_set
PA5569,PA4935,1,In_reference_set
PA1529,PA4760,1,In_reference_set
PA1319,PA1318,1,In_reference_set
PA2812,PA4568,1,In_reference_set
PA1410,PA3609,1,In_reference_set
